A,B,C
8130,9480,7270
9075,8578,5289
5785,9676,9650
1744,7957,8817
5586,2584,8364
9584,6808,1513
5392,6851,189
8804,3213,7853
98,3393,2696
1,8152,2852
918,619,6910
8700,3466,2291
6417,7216,1845
4886,4729,8575
2236,8551,1749
947,9447,8181
8069,4086,6755
4274,4811,3531
4522,3726,2442
7565,4271,3432
956,879,4951
1333,3242,211
481,747,5340
5983,3125,3409
256,4609,9421
5086,5659,8921
2272,2259,4464
5387,9508,5622
8118,7019,6137
1715,8447,1341
7579,9724,8457
7841,2227,5721
7508,2111,6723
8458,8907,5878
789,9457,1182
2122,6421,4935
3395,7602,9270
1805,9077,214
7619,9731,9151
1268,3666,3516
6884,2784,3724
3743,6049,4416
767,4308,1760
414,1040,5487
2952,1468,1477
3856,7979,8417
6887,8743,7361
6810,7493,5691
9869,1959,7066
8695,2715,2290
8137,9241,2590
6289,1240,7887
4640,3863,5014
3349,9411,6125
3898,769,2052
8611,1898,923
7230,5348,760
9907,8783,7502
3704,4840,4754
2348,5892,5408
6966,8948,7660
407,4635,9978
3951,1859,2117
8711,2127,5567
1928,2184,1790
6632,7911,3438
7045,1787,6963
9164,9312,8877
2463,7698,6563
420,3558,5614
7530,1978,6961
1512,7154,1595
3779,7458,9427
2410,8901,3744
3230,2998,1569
7042,2966,6313
9057,5670,1249
2034,1390,8576
5677,3400,1594
1724,6574,3361
6299,5917,4660
1417,1208,7651
9961,3319,9412
3235,429,8181
9030,6693,5355
4306,9723,9179
9710,7675,7484
621,7536,9768
8080,1262,8480
1259,6903,2129
1100,438,4704
8010,4060,3185
7350,1220,8396
7345,2904,9453
8180,8238,3094
799,365,7306
1264,6316,295
6091,5142,4170
8537,5008,5634
2640,587,1494
5210,5763,2323
8262,6233,9115
7784,844,7765
7852,1399,3146
5796,6252,2125
4623,496,4860
2521,8398,3138
1410,308,6470
3497,6885,2599
6379,9559,3611
5215,7944,6009
225,3499,7303
5092,4535,5136
2357,7734,3485
415,5225,8201
2438,3272,8543
9260,6605,5452
9301,1549,313
2582,4408,7959
7530,5413,4560
9829,6150,4345
6065,4680,8889
6652,8099,6722
1473,9979,7387
9513,8574,2878
5883,3076,7396
5330,7414,8431
890,9170,1638
3214,5802,4676
2633,122,5101
1787,3716,5519
6134,9808,5022
7464,2061,7517
7867,526,5290
1187,5255,996
1188,2659,5943
4099,8495,1857
5543,7329,6446
3616,7162,8266
2338,9208,3640
4965,5794,6432
6139,7481,6920
6817,3835,4616
2544,905,5552
8645,1008,1289
2539,938,5776
6424,2290,9887
6236,8430,8896
5596,1695,8243
8565,2168,4067
1592,7995,4217
5360,867,1132
1117,8299,3204
8710,9434,3158
6263,3496,1166
1386,3158,3036
6719,5828,4970
3651,52,1842
5369,3779,5023
2043,1275,589
1963,2936,1445
580,4360,4334
103,6539,2850
8283,1884,7267
701,2498,3797
7768,5394,4938
8016,71,271
3976,8421,8942
3555,445,1297
9836,7516,422
2894,1518,1085
6480,5683,3896
4128,4747,9242
1049,9013,4756
191,3772,3801
1581,6780,744
5153,1155,4284
5925,7658,8217
7488,3842,8369
9412,9051,6226
2613,2455,1377
3922,9442,2670
3687,8006,809
8232,9656,3630
3287,1580,2860
3909,4567,2605
8992,1765,2241
8041,834,8661
8771,9226,9814
8380,9430,2409
593,358,6888
4876,5212,5453
9053,6414,8509
1175,2600,2460
3817,238,326
1960,9052,2103
1177,124,1745
824,1043,4503
1488,3055,370
2487,3979,7392
1,8756,3499
5924,8474,9923
3527,9232,8377
1557,4870,4119
4295,2486,2235
299,9099,7802
38,8754,9482
9231,6593,5131
511,4958,9115
1434,2494,5489
9269,687,6570
2514,9981,1695
4168,7201,7100
5453,5178,3867
1994,6564,7279
1664,6249,6355
5184,7581,3406
5562,2842,3440
6552,876,866
3426,7248,5791
3950,969,7066
6089,8219,2144
8453,7645,5978
4456,1083,2512
7550,2772,5577
718,6531,9891
2274,2281,1427
8143,8399,690
970,2227,6685
2266,4145,8046
9643,8027,2277
2603,5433,6811
35,6187,5211
1580,1138,6665
7447,5049,8882
4300,688,3721
1839,820,874
6305,4687,974
9117,7833,1995
418,536,1288
6502,9340,6387
8098,9630,6312
5051,9513,4003
8333,5990,6417
2737,5122,883
6770,6768,384
8056,520,246
6528,6300,5867
29,4326,9076
740,5634,4397
161,240,3510
5197,817,9534
259,4679,7156
4933,1437,6626
7276,5605,3834
311,6273,1899
2491,2917,75
9085,4789,4817
5854,589,5219
287,3999,9899
7149,924,825
6306,8668,8250
5929,4704,6235
8079,2903,6772
3629,2355,6340
3150,2183,7702
3141,3678,6111
9177,8371,7436
6415,7571,6155
3563,4121,8467
731,6987,2592
4456,5643,8427
7056,1494,9147
3416,5615,1632
5154,4336,6741
6900,8697,8431
2255,308,1577
9331,3664,4252
6977,6723,9234
155,6363,8175
1248,955,2003
2284,8009,1966
4413,7007,8678
5471,9588,7590
5278,3829,3753
2362,4187,7561
4688,8351,1786
9306,1614,6307
1323,1630,1650
3743,5310,6599
640,7795,3683
545,4054,2935
1991,8689,1668
7303,2430,7802
5352,4387,8648
4248,6584,9643
2671,4460,3202
3332,9199,9689
8477,3485,3865
